Year,Infectious diseases,Age,Region,Value
2017,ill_3_m_m_r,age_vac_1_under_1_year,,91.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,90.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,63.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,47.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,58.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,55.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,64.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,89.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,89.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,56.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,47.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,84.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,76.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,40.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,21.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,64.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,86.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,84.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,72.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,74.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,95.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,83.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,21.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,47.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,69.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,,79.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,95.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,91.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,55.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,52.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,93.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,59.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,77
2024,ill_3_m_m_r,age_vac_1_under_1_year,,17.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,53.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,82.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,75.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,80.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,58.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,60.4
2021,ill_3_m_m_r,age_vac_1_under_1_year,,85.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,73.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,45.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,21.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,95.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,98.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,96.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,95.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,94.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,93.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,93.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,96.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,90.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,80.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,71.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,67.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,,81.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,80.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,69.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,66.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,83.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,77.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,55.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,,52.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,76.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,67.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,79.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,78.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,73.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,66.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,79.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,69.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,58.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,50.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,44.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,47.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,68.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,71.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,54.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,53.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,79.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,83.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,42.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,30
2015,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,46.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,36.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,46.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,41.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,47.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,41.9
2021,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,99.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,74.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,60.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,53.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,51.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,77.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,52.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,75.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,84.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,77
2023,ill_3_m_m_r,age_vac_1_under_1_year,,51.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36
2015,ill_3_m_m_r,age_vac_1_under_1_year,,68.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,,68
2017,ill_3_m_m_r,age_vac_1_under_1_year,,78
2018,ill_3_m_m_r,age_vac_1_under_1_year,,76.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,75.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,73.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,91.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,78.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,55.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,69.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,,84.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,79.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,59.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,60.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,69.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,57
2023,ill_3_m_m_r,age_vac_1_under_1_year,,67.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,69.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,76
2016,ill_3_m_m_r,age_vac_1_under_1_year,,83.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,75.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,84
2021,ill_3_m_m_r,age_vac_1_under_1_year,,74.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,79.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,71.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,63.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,48.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,55.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,,68.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,72.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,45.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,41.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,78.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,52.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,31
2024,ill_3_m_m_r,age_vac_1_under_1_year,,34.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,95.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,89.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,96.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,96.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,79.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,73.4
2021,ill_3_m_m_r,age_vac_1_under_1_year,,81.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,89.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,62.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,61.9
2015,ill_3_m_m_r,age_vac_1_under_1_year,,87.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,77.9
2017,ill_3_m_m_r,age_vac_1_under_1_year,,85.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,82.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,99.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,89.9
2021,ill_3_m_m_r,age_vac_1_under_1_year,,89.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,99.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,56.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,47.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,84
2018,ill_3_m_m_r,age_vac_1_under_1_year,,84.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,52.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,80.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,90.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,86.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,65.3
2024,ill_3_m_m_r,age_vac_1_under_1_year,,66.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,67.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,,57.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,73.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,73.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,70.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,60.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,75.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,68.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,59.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,65.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,89.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,83.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,85.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,81.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,93.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,90.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,83.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,57.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,63.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,59.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,62.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,84
2018,ill_3_m_m_r,age_vac_1_under_1_year,,87
2020,ill_3_m_m_r,age_vac_1_under_1_year,,53
2023,ill_3_m_m_r,age_vac_1_under_1_year,,33.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,93.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,96.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,97.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,96.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,86.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,90.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,88.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,85.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,66.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,77.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,57.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,49.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,77.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,85.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,66
2020,ill_3_m_m_r,age_vac_1_under_1_year,,55.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,81.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,82
2023,ill_3_m_m_r,age_vac_1_under_1_year,,57.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,41.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,88.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,85.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,93.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,94.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,88.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,74.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,94.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,,79.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,64.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,65.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,59.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,88.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,57.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,49.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,77.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,80.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,,59.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,40.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,66.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,40.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,54
2020,ill_3_m_m_r,age_vac_1_under_1_year,,37.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,81.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,77.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,36.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,56.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,69.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,49.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,83.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,77.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,71.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,87.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,58.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,40.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,90.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,85.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,78.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,89.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,52
2024,ill_3_m_m_r,age_vac_1_under_1_year,,43.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,87.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,82.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,92.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,84.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,71.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,73.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,69.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,68.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,86.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,,88.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,,91
2018,ill_3_m_m_r,age_vac_1_under_1_year,,93.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,76.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,77.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,92
2022,ill_3_m_m_r,age_vac_1_under_1_year,,70.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,78.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,42.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,87.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,76.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,85.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,89.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,83.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,93
2022,ill_3_m_m_r,age_vac_1_under_1_year,,86.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,90.3
2024,ill_3_m_m_r,age_vac_1_under_1_year,,59.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,88.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,93.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,85.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,81.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,86.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,91.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,88.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,89.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,87
2024,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,58.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,78.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,78.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,80.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,80.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,80.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,80.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,72.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,91.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,83.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,76.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,79.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,86
2017,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,76.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,79.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,87.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,93.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,61.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,88.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,93.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,79.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,74.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,71.9
2017,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,76.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,76.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,76.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,83
2021,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,70.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,96.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,91.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,65.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,62.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,57.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,57.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,50.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,75
2020,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,73.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,49
2022,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,94.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,83.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,78.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,77.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,70.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,67.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,91.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,80.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,75.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,,74.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,74.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,84.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,88.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,87.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,,90.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,72.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,80.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,71.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,74
2017,ill_3_m_m_r,age_vac_1_under_1_year,,76.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,77.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,65.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,71.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,55.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,96.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,59.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,83
2017,ill_3_m_m_r,age_vac_1_under_1_year,,84.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,83.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,80.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,73.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,77.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,98.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,,99.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,77.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,71.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,83
2018,ill_3_m_m_r,age_vac_1_under_1_year,,82.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,70.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,90.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,81.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,80.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,64.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,,85.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,88.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,90.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,83.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,84.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,38.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,94.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,89.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,78.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,87.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,91
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,93.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,90.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,62.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,89.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,92.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,71.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,75
2017,ill_3_m_m_r,age_vac_1_under_1_year,,81.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,,84.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,85.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,81
2023,ill_3_m_m_r,age_vac_1_under_1_year,,30.4
2024,ill_3_m_m_r,age_vac_1_under_1_year,,90.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,75.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,70.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,68.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,71.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,76
2020,ill_3_m_m_r,age_vac_1_under_1_year,,72.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,67.3
