Year,Sphere,Status,Regin,Value
2022,,suspended_due_to_war,Ukraine,13.0

2023,energy_water_utilities,,Ukraine,56.0
2023,transport_infrastructure,,Ukraine,5.0
2023,healthcare,,Ukraine,3.0
2023,tourism_recreation_culture_sport,,Ukraine,9.0
2023,waste_management_excl_collection_transport,,Ukraine,114.0
2023,other_institution,,Ukraine,11.0
2023,,implemented,Ukraine,22.0
2023,,not_implemented,Ukraine,166.0
2023,,suspended_due_to_war,Ukraine,10.0

2024,energy_water_utilities,,Ukraine,57.0
2024,transport_infrastructure,,Ukraine,5.0
2024,healthcare,,Ukraine,3.0
2024,tourism_recreation_culture_sport,,Ukraine,10.0
2024,waste_management_excl_collection_transport,,Ukraine,114.0
2024,other_institution,,Ukraine,11.0
2024,,implemented,Ukraine,22.0
2024,,not_implemented,Ukraine,167.0
2024,,suspended_due_to_war,Ukraine,11.0
