Year,Область,Value
2022,Полтавська,12.0
2023,Полтавська,12.0
2024,Полтавська,14.0
2017,Рівненська,87.0
2018,Рівненська,52.0
2019,Рівненська,62.0
2020,Рівненська,49.0
2021,Рівненська,11.0
2022,Рівненська,48.0
2023,Рівненська,46.0
2024,Рівненська,45.0
2017,Сумська,0.0
2018,Сумська,0.0
2019,Сумська,0.0
2020,Сумська,0.0
2021,Сумська,0.0
2022,Сумська,11.0
2023,Сумська,25.0
2024,Сумська,50.0
2017,Тернопільська,3.0
2018,Тернопільська,1.0
2019,Тернопільська,15.0
2020,Тернопільська,5.0
2021,Тернопільська,10.0
2022,Тернопільська,30.0
2023,Тернопільська,222.0
2024,Тернопільська,24.0
2017,Харківська,34.0
2018,Харківська,45.0
2019,Харківська,67.0
2020,Харківська,38.0
2021,Харківська,41.0
2022,Харківська,53.0
2023,Харківська,58.0
2024,Харківська,66.0
2017,Херсонська,5.0
2018,Херсонська,4.0
2019,Херсонська,0.0
2020,Херсонська,0.0
2021,Херсонська,18.0
2022,Херсонська,
2023,Херсонська,
2024,Херсонська,
2017,31_reg_Khmelnytskyi,33.0
2018,31_reg_Khmelnytskyi,22.0
2019,31_reg_Khmelnytskyi,8.0
2020,31_reg_Khmelnytskyi,7.0
2021,31_reg_Khmelnytskyi,8.0
2022,31_reg_Khmelnytskyi,5.0
2023,31_reg_Khmelnytskyi,225.0
2024,31_reg_Khmelnytskyi,6.0
2017,Черкаська,12.0
2018,Черкаська,7.0
2019,Черкаська,3.0
2020,Черкаська,5.0
2021,Черкаська,6.0
2022,Черкаська,15.0
2023,Черкаська,8.0
2024,Черкаська,16.0
2017,Чернівецька,23.0
2018,Чернівецька,21.0
2019,Чернівецька,17.0
2020,Чернівецька,10.0
2021,Чернівецька,9.0
2022,Чернівецька,3.0
2023,Чернівецька,7.0
2024,Чернівецька,15.0
2017,Чернігівська,22.0
2018,Чернігівська,29.0
2019,Чернігівська,28.0
2020,Чернігівська,13.0
2021,Чернігівська,8.0
2022,Чернігівська,8.0
2023,Чернігівська,24.0
2024,Чернігівська,48.0
2017,99_reg_Kyiv_city,10.0
2018,99_reg_Kyiv_city,9.0
2019,99_reg_Kyiv_city,9.0
2020,99_reg_Kyiv_city,12.0
2021,99_reg_Kyiv_city,22.0
2022,99_reg_Kyiv_city,19.0
2023,99_reg_Kyiv_city,42.0
2024,99_reg_Kyiv_city,61.0
